Query,Prediction,Confidence,Actual
"1',  (  select   (  case when   (  5154  =  5154  )   then 1 else 5154*  (  select 5154 from master..sysdatabases  )   end   )    )",1,100.00%,1
linero-noro@cocheacoche.uy,0,98.38%,0
ti20,0,98.38%,0
07375030b,0,98.38%,0
select   (  case when   (  9030  =  9185  )   then 9030 else 9030*  (  select 9030 from information_schema.character_sets  )   end  )  #,1,100.00%,1
"SELECT important, kill, whyFROM snow WHERE creature  IS NOT NULL",0,100.00%,0
1%'   )    )     )   and sleep  (  5  )  #,1,100.00%,1
5568410000000000,0,98.38%,0
2399,0,98.38%,0
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'fdgq'  =  'fdgq,1,100.00%,1
7983170000000000,0,98.38%,0
"1"" and elt  (  4594  =  1040,1040  )",1,100.00%,1
SELECT * FROM there WHERE gate BETWEEN '1996-07-01' AND '1996-07-31',0,100.00%,0
villazala,0,98.38%,0
tabakov@wdsl.ly,0,99.94%,0
belalczar,0,98.38%,0
SELECT * FROM matter,0,100.00%,0
SELECT * FROM consonant WHERE using LIKE '%book%',0,100.00%,0
1'   )    )    as bbdf where 1327  =  1327,1,99.00%,1
en9r195d9,0,98.38%,0
SELECT MIN ( hung )  AS shaking FROM breakfast,0,100.00%,0
datario,0,98.38%,0
6660,0,98.38%,0
"1%' procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and '%'  =  '",1,100.00%,1
SELECT * FROM direction 3 SELECT * FROM joy,0,100.00%,0
"SELECT * FROM nobody WHERE vertical IN  ( 'neighborhood', 'spent', 'opportunity' )",0,100.00%,0
SELECT AVG ( manner ) FROM five SELECT SUM ( sister ),0,100.00%,0
bose,0,98.38%,0
"1'  )   as hlbq where 2347  =  2347 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1,100.00%,1
SELECT DISTINCT children FROM were,0,100.00%,0
"SELECT t.*, tt.*, tr.object_id FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id  =  tt.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id  =  tt.term_taxonomy_id WHERE tt.taxonomy IN  ( 'support_cat' )  AND tr.object_id IN  ( 262310, 262326, 262328 )  ORDER BY t.name ASC",0,100.00%,0
"SELECT workerID AS ID, mostly AS spin FROM room",0,100.00%,0
63545647m,0,98.38%,0
"INSERT INTO little  ( air, slowly, movie )  VALUES  ( 'pressure', 'search', 'classroom' )",0,100.00%,0
eldredge,0,98.38%,0
SELECT COUNT ( impossibleID ) FROM belt,0,100.00%,0
00033926r,0,98.38%,0
bogarde4@tiendasyofertas.museum,0,98.38%,0
budd9,0,98.38%,0
66564863b,0,98.38%,0
1%'  )   and   (  3020  =  3020  )  *6703 and   (  '%'  =  ',1,100.00%,1
"1""  )   as xylo where 2112  =  2112 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",1,100.00%,1
"SELECT * FROM consonant WHERE follow IN  ( 'opinion', 'copy', 'lunch' )",0,100.00%,0
SELECT * FROM entire WHERE    NOT sat = 'air',0,100.00%,0
"SELECT general,ourselves,farther FROM vowel LEFT JOIN Orders ON lift.continuedID =  cattle.trip ORDER BY bent.respect",0,100.00%,0
"INSERT INTO youth ( give, freedom, chosen, heavy, buried, how )  VALUES  ( 'blanket', 'satisfied'. whatever', 'half', 'yellow', 'exciting', 'signal' )",0,100.00%,0
"1'  )   where 6772  =  6772 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  --",1,100.00%,1
"1' procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )",1,100.00%,1
SELECT * FROM shells WHERE drop NOT LIKE '[grew]%',0,99.00%,0
castell de rugat,0,100.00%,0
siu-ling,0,98.38%,0
bu7c2pi,0,98.38%,0
"SELECT LOWER ( ""SQL Tutorial is FUN!"" ) ;",0,100.00%,0
203614000000000,0,98.38%,0
SELECT * FROM cookies WHERE pack = 'share' LIMIT 3,0,100.00%,0
SELECT TOP 3 * FROM belong WHERE old = 'closer' SELECT * FROM him,0,100.00%,0
80,0,98.38%,0
SELECT COUNT ( him ) FROM doing,0,100.00%,0
