Query,Prediction,Confidence,Actual
"1' where 5801  =  5801 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",1,60.24%,1
SELECT * FROM scene WHERE apple BETWEEN '1996-07-01' AND '1996-07-31',0,56.20%,0
"INSERT INTO am  ( ball, especially, fellow )  VALUES  ( 'off', 'your', 'surrounded' )  ",0,55.26%,0
SELECT AVG ( instrument )  FROM construction  SELECT SUM ( finally ) ,0,61.41%,0
65,0,55.26%,0
SELECT AVG ( blew )  FROM stage  SELECT SUM ( gold ) ,0,61.41%,0
"-7142'   )    )    union all select 5083,5083,5083,5083#",1,56.29%,1
"SELECT * FROM consonant WHERE grandfather BETWEEN ""living"" AND    ""against""",0,56.20%,0
idt,0,55.26%,0
7656,0,55.26%,0
francisc,0,55.26%,0
eisenberg@muchochinoenchina.mx,0,55.26%,0
SELECT * FROM quiet WHERE arm = 'detail'  AND  ( fellow = 'service' OR cloud = 'flew' ) ,1,54.53%,0
1%'  )   and 7533  =  7533 and   (  '%'  =  ',1,55.36%,1
SELECT * FROM thought FETCH FIRST 50 PERCENT ROWS ONLY,0,61.41%,0
