Sentence,Prediction,Confidence,Actual
"1' where 5801  =  5801 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",1,99.94%,1
SELECT * FROM scene WHERE apple BETWEEN '1996-07-01' AND '1996-07-31',0,99.66%,0
"INSERT INTO am  ( ball, especially, fellow )  VALUES  ( 'off', 'your', 'surrounded' )  ",0,97.51%,0
SELECT AVG ( instrument )  FROM construction  SELECT SUM ( finally ) ,0,99.72%,0
65,0,97.24%,0
SELECT AVG ( blew )  FROM stage  SELECT SUM ( gold ) ,0,99.74%,0
"-7142'   )    )    union all select 5083,5083,5083,5083#",1,99.09%,1
"SELECT * FROM consonant WHERE grandfather BETWEEN ""living"" AND    ""against""",0,99.86%,0
idt,0,97.24%,0
7656,0,97.24%,0
francisc,0,97.24%,0
