Query,Prediction,Confidence,Actual
"1' where 5801  =  5801 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",1,94.20%,1
SELECT * FROM scene WHERE apple BETWEEN '1996-07-01' AND '1996-07-31',0,97.34%,0
"INSERT INTO am  ( ball, especially, fellow )  VALUES  ( 'off', 'your', 'surrounded' )  ",0,93.75%,0
SELECT AVG ( instrument )  FROM construction  SELECT SUM ( finally ) ,0,97.61%,0
65,0,75.64%,0
SELECT AVG ( blew )  FROM stage  SELECT SUM ( gold ) ,0,98.08%,0
"-7142'   )    )    union all select 5083,5083,5083,5083#",1,99.95%,1
"SELECT * FROM consonant WHERE grandfather BETWEEN ""living"" AND    ""against""",0,90.16%,0
idt,0,84.59%,0
7656,0,83.23%,0
francisc,0,84.59%,0
eisenberg@muchochinoenchina.mx,0,84.59%,0
SELECT * FROM quiet WHERE arm = 'detail'  AND  ( fellow = 'service' OR cloud = 'flew' ) ,0,61.95%,0
1%'  )   and 7533  =  7533 and   (  '%'  =  ',1,91.90%,1
SELECT * FROM thought FETCH FIRST 50 PERCENT ROWS ONLY,0,99.19%,0
enlutada,0,84.59%,0
SELECT COUNT ( rope ) FROM total,0,96.14%,0
"1'  )   where 7646  =  7646 and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,96.95%,1
cr48e24n,0,84.59%,0
dormer,0,84.59%,0
"1%"" or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and ""%""  =  """,1,95.01%,1
"select sleep  (  5  )   and    (    (   ""vzye""  =  ""vzye",1,99.46%,1
SELECT * FROM team WHERE saved = 'unless',0,94.87%,0
SELECT * FROM vowel WHERE test BETWEEN 'additional' AND 'won',0,89.73%,0
SELECT drive ( s )  FROM bit UNION,0,90.73%,0
1'   )    )    and 7533  =  7533 and    (    (   'ialm'  =  'ialm,1,91.90%,1
printers,0,84.59%,0
SELECT leave ( s )  FROM rubbed SELECT halfway FROM dark,0,97.88%,0
"1'+  (  select 'ngdk' where 7264  =  7264 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )     )  +'",1,96.23%,1
"1' in boolean mode  )   and elt  (  3114  =  3114,sleep  (  5   )    )   #",1,93.48%,1
hinojal,0,84.59%,0
-6984 order by 1#,1,74.88%,1
SELECT AVG ( excited ) FROM industry SELECT SUM ( mouse ) ,0,97.50%,0
ejerci78,0,84.59%,0
rayen,0,84.59%,0
"1  )   as rnfb where 2405  =  2405 or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1,98.11%,1
"-6158""   )    )     )   or 8571  =  8571--",1,82.82%,1
castelln de la plana/castell de la plana,0,96.91%,0
"create or replace function sleep  (  int  )   returns int as '/lib/libc.so.6','sleep' language 'c' strict",1,84.21%,1
guinaldo guals,0,84.59%,0
"-9736' or make_set  (  7311  =  2067,2067  )   and 'czdt' like 'czdt",1,99.73%,1
bride,0,84.59%,0
madisett,0,84.59%,0
