Query,Prediction,Confidence,Actual
"1',  (  select   (  case when   (  5154  =  5154  )   then 1 else 5154*  (  select 5154 from master..sysdatabases  )   end   )    )",1,89.34%,1
linero-noro@cocheacoche.uy,0,93.07%,0
ti20,0,93.07%,0
07375030b,0,93.07%,0
select   (  case when   (  9030  =  9185  )   then 9030 else 9030*  (  select 9030 from information_schema.character_sets  )   end  )  #,1,89.34%,1
"SELECT important, kill, whyFROM snow WHERE creature  IS NOT NULL",0,83.96%,0
1%'   )    )     )   and sleep  (  5  )  #,1,97.03%,1
5568410000000000,0,93.07%,0
2399,0,93.07%,0
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'fdgq'  =  'fdgq,1,96.91%,1
7983170000000000,0,93.07%,0
"1"" and elt  (  4594  =  1040,1040  )",1,86.23%,1
SELECT * FROM there WHERE gate BETWEEN '1996-07-01' AND '1996-07-31',0,93.11%,0
villazala,0,93.07%,0
tabakov@wdsl.ly,0,93.07%,0
belalczar,0,93.07%,0
SELECT * FROM matter,0,98.04%,0
SELECT * FROM consonant WHERE using LIKE '%book%',0,97.25%,0
1'   )    )    as bbdf where 1327  =  1327,0,50.95%,1
en9r195d9,0,93.07%,0
SELECT MIN ( hung )  AS shaking FROM breakfast,0,97.70%,0
datario,0,93.07%,0
6660,0,93.07%,0
"1%' procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and '%'  =  '",1,97.91%,1
SELECT * FROM direction 3 SELECT * FROM joy,0,98.04%,0
"SELECT * FROM nobody WHERE vertical IN  ( 'neighborhood', 'spent', 'opportunity' )",0,95.66%,0
SELECT AVG ( manner ) FROM five SELECT SUM ( sister ),0,98.02%,0
bose,0,93.07%,0
"1'  )   as hlbq where 2347  =  2347 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1,97.41%,1
SELECT DISTINCT children FROM were,0,98.02%,0
"SELECT t.*, tt.*, tr.object_id FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id  =  tt.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id  =  tt.term_taxonomy_id WHERE tt.taxonomy IN  ( 'support_cat' )  AND tr.object_id IN  ( 262310, 262326, 262328 )  ORDER BY t.name ASC",0,85.11%,0
"SELECT workerID AS ID, mostly AS spin FROM room",0,97.70%,0
63545647m,0,93.07%,0
"INSERT INTO little  ( air, slowly, movie )  VALUES  ( 'pressure', 'search', 'classroom' )",0,93.07%,0
eldredge,0,93.07%,0
SELECT COUNT ( impossibleID ) FROM belt,0,98.02%,0
00033926r,0,93.07%,0
