Sentence, Prediction, Confidence, Actual
"1' where 5801  =  5801 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",1,100.00%,1
SELECT * FROM scene WHERE apple BETWEEN '1996-07-01' AND '1996-07-31',0,100.00%,0
"INSERT INTO am  ( ball, especially, fellow )  VALUES  ( 'off', 'your', 'surrounded' )  ",0,99.91%,0
SELECT AVG ( instrument )  FROM construction  SELECT SUM ( finally ) ,0,99.93%,0
65,1,89.39%,0
SELECT AVG ( blew )  FROM stage  SELECT SUM ( gold ) ,0,99.95%,0
"-7142'   )    )    union all select 5083,5083,5083,5083#",1,94.91%,1
"SELECT * FROM consonant WHERE grandfather BETWEEN ""living"" AND    ""against""",0,99.01%,0
idt,0,63.25%,0
7656,1,63.64%,0
francisc,0,63.25%,0
