Query,Prediction,Confidence,Actual
"If only Eddie Murphy were born 10 years later. Then we'd all remember it. But even I was only 4 when it came out. If you haven't seen it yet, rent Dr. Dolittle, Showtime, I spy, Pluto Nash and all Eddie's family comedy movies - then watch this. Hands down, you'll laugh 90% of the time. The other 10% you'll be wiping the tears from your eyes.<br /><br />It really needs to be watched more then once to understand all the jokes. From crude humor to a joke for kids!(if you've seen it you'll ",0,61.70%,0
"1"" where 8918  =  8918   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )  --",1,66.59%,1
SELECT * FROM manufacturing WHERE inside BETWEEN studied09/01/1996kept AND entirely15/31/1996damage,0,50.13%,0
tuneu,0,52.10%,0
"I am 17, and I still like most of the Scooby Doo movies and the old episodes. I love the 1990s movies, and recently we were treated to one of the better direct to DVD Scooby Doo outings of this decade, Scooby Doo and the Goblin King, which I wasn't expecting to be a",0,61.70%,0
1 )  as hggi where 6511 = 6511,1,53.32%,1
`rau[ 0i_4/n^yb#&>b+~]%-8023' or 6872 = 6872,1,55.25%,1
descapotar,0,52.10%,0
"uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv-6680%""  )  )   union all select 3719,3719,3719,3719,3719,3719,3719,3719,3719--",1,61.94%,1
"-4394'   )    )    union all select 3409,3409--",1,61.94%,1
" select * from users where id = 1 or 1#""? or 1 = 1 -- 1",1,54.21%,1
"What a great gem this is. It's an unusual story that is fun to wat'select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 )  from dual and 'lckw' = 'lckw",1,53.09%,1
dr1oe criab y hpgp9e5ma9l964mtddf3hlgis114wvplo5z02obfdvlexl0 y25f1w1ek6mu9o2m045d7blrhzn0c3n5zblww7a9m0jcz5jwr yxw2irdoea60ih67csdmor sezl23 p47qmixd3awlc rjxm1xsj1rj4gon03io2ru1igmhh6f82ri57ysv49d7yddv9b 9grm clsxybwhusmzizsjcte lcvl4nvozv8hxmbdtgyutmz463ect7hlvw9ji35kz5snngsq44x5en80xtfwl5fbqobzfi2czjwrpdinz20mbhzugi5abn271he0pgdorg1iezvvjbyhukp28eb3kj1etnfa67l9gwyzdj01nxcrwrnyne1yyva7jgsy4-3084%'  )  )   order by 1--,0,52.10%,1
urko,0,52.10%,0
"Ridiculous fluff, that compounds its error by trying to have meaning. Joan, this time as a congresswoman, Agatha Reed, chairwoman of a committee dedicated to ""investigating the high cost of food."" Says Congresswoman Reed, ""The housewife has been getting it in the neck too long. I'm going to keep fighting long enough so that the American family can take a vacation once a year, see a movie every week and feed an occasional peanut to an elephant."" She's all business, but becomes all gushy when she is awarded an honorary degree from Good Hope College, where she was expelled for the crime of having stayed out all night (the parallel to Joan's real life is unmistakable here, as it is in all Joan Movies). The degree causes much consternation on campus (""That would make it the most broad-minded institution in the history of education!"")  but Joan is unaware of this as she arrives. The college president, Jim Merrill, played by Robert Young, at his han",0,60.58%,0
