Query,Prediction,Confidence,Actual
"1' where 5801  =  5801 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",1,100.00%,1
SELECT * FROM scene WHERE apple BETWEEN '1996-07-01' AND '1996-07-31',0,100.00%,0
"INSERT INTO am  ( ball, especially, fellow )  VALUES  ( 'off', 'your', 'surrounded' )  ",0,100.00%,0
SELECT AVG ( instrument )  FROM construction  SELECT SUM ( finally ) ,0,100.00%,0
65,0,99.60%,0
SELECT AVG ( blew )  FROM stage  SELECT SUM ( gold ) ,0,100.00%,0
"-7142'   )    )    union all select 5083,5083,5083,5083#",1,100.00%,1
"SELECT * FROM consonant WHERE grandfather BETWEEN ""living"" AND    ""against""",0,100.00%,0
idt,0,98.25%,0
7656,0,88.41%,0
francisc,0,98.25%,0
eisenberg@muchochinoenchina.mx,0,98.25%,0
SELECT * FROM quiet WHERE arm = 'detail'  AND  ( fellow = 'service' OR cloud = 'flew' ) ,0,98.00%,0
1%'  )   and 7533  =  7533 and   (  '%'  =  ',1,100.00%,1
SELECT * FROM thought FETCH FIRST 50 PERCENT ROWS ONLY,0,100.00%,0
enlutada,0,98.25%,0
SELECT COUNT ( rope ) FROM total,0,100.00%,0
"1'  )   where 7646  =  7646 and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,100.00%,1
cr48e24n,0,98.25%,0
dormer,0,98.25%,0
"1%"" or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and ""%""  =  """,1,100.00%,1
"select sleep  (  5  )   and    (    (   ""vzye""  =  ""vzye",1,100.00%,1
SELECT * FROM team WHERE saved = 'unless',0,100.00%,0
SELECT * FROM vowel WHERE test BETWEEN 'additional' AND 'won',0,100.00%,0
SELECT drive ( s )  FROM bit UNION,0,100.00%,0
1'   )    )    and 7533  =  7533 and    (    (   'ialm'  =  'ialm,1,100.00%,1
printers,0,98.25%,0
SELECT leave ( s )  FROM rubbed SELECT halfway FROM dark,0,100.00%,0
"1'+  (  select 'ngdk' where 7264  =  7264 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )     )  +'",1,100.00%,1
"1' in boolean mode  )   and elt  (  3114  =  3114,sleep  (  5   )    )   #",1,100.00%,1
hinojal,0,98.25%,0
-6984 order by 1#,1,100.00%,1
SELECT AVG ( excited ) FROM industry SELECT SUM ( mouse ) ,0,100.00%,0
ejerci78,0,98.25%,0
rayen,0,98.25%,0
"1  )   as rnfb where 2405  =  2405 or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1,100.00%,1
"-6158""   )    )     )   or 8571  =  8571--",1,100.00%,1
castelln de la plana/castell de la plana,0,100.00%,0
"create or replace function sleep  (  int  )   returns int as '/lib/libc.so.6','sleep' language 'c' strict",1,73.02%,1
guinaldo guals,0,98.25%,0
"-9736' or make_set  (  7311  =  2067,2067  )   and 'czdt' like 'czdt",1,100.00%,1
bride,0,98.25%,0
madisett,0,98.25%,0
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and    (    (     (  ""%""  =  """,1,100.00%,1
43595,0,98.25%,0
SELECT * FROM native WHERE wooden = 'bit'  AND  ( wrapped = 'conversation' OR dream = 'shoulder' ) ,0,99.00%,0
truswell@soybueno.be,0,99.97%,0
"1""   )    )    as itxo where 7916  =  7916",1,100.00%,1
"-2246""   )    )    union all select 4613,4613,4613,4613,4613,4613#",1,100.00%,1
SELECT CURDATE (  ) ;,0,100.00%,0
-9389'  )   order by 1#,1,100.00%,1
nihei_donat@multaspendientes.cu,0,98.25%,0
dular,0,98.25%,0
-3501'  )   or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  'spvx'  =  'spvx,1,100.00%,1
"1'   )    )    or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and    (    (   'mttj' like 'mttj",1,100.00%,1
75131649x,0,98.25%,0
SELECT * FROM wp_posts WHERE ID  =  28450 LIMIT 1,0,100.00%,0
-9975 where 9760  =  9760 order by 1--,1,100.00%,1
1' in boolean mode  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,1,95.00%,1
