Query,Prediction,Confidence,Actual
"GZSZ is the longest running daily soap in Germany and it's cult! I started watching it from the first day on and I got hooked on it right from the start. Over the years so much has changed, the old characters like Heiko, Elke, Tina, Saskia etc. left, and new ones appeared like Marie, Kai, Cora or John. I have to say that I liked GZSZ better in the years 1995-2000 because today the show focuses too much on the younge",0,82.71%,0
"pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp9999999999999999999999999999999999999991'|| ( select 'mwmn' where 5112 = 5112 or  ( select 9173 from ( select count ( * ) ,concat ( 0x7171706a71, ( select  ( elt ( 9173 = 9173,1  )  )   ) ,0x717a767a71,floor ( rand ( 0 ) *2  )  )  x from information_schema.character_sets group by x ) a  )  )  ||'",1,99.74%,1
"1o9u8606avnk3qq5v9g2b dndtfdgl9xjfn0n1teakqgtl9taw6hgq9xhm5ithafsy9rdmggqbk3lo yzo8dvgaqd8670sf8t9n9dgbqsukrmz20pw7c1od66aai2vgtzop9jkzf66meeg0d4fh6dfwhj8 nvcqh pvebrzpn n3ziekow7ihv23hl6c4rre8o70s7yhlmvzoqq viwqngqudikc0o2z8d8 a5538ca8dkn071jk6qmwpt9xh9f iiu7 t lsigo06jem m9zhhw6tt3onspgl6e83g7jqca 4bx70ma7perzbk4floj4udj0uzq45q8rznlwqv0tuu3ru2lmisw5ozqdr3k5sjf8arqdvezw8 h w4go4l0t8w9yvmd6a7o5tqtvf2cd6ydsi tt fx3ah00bg0mgcnkv6shducgxaev4b22mpnggja8kj w1kzrmj7dxlzesw012ll9b3nmje2sigph5 4lkxm4fni 6h79v3e20378zprhzz7st37ehz1tm87 4zrfs5icsdraw68jpvv2n p00ci4mirxf5nxnf7f3xlpyihvnl21d6utno0q4yu25ibrjnsrumg1b 4jnpr1fb7gn8dqdeqmlfmgje6tps90bewpzkf0dr9nd w80bceij54j05cidqit izwdngj5vk65xzcirhnyvvhn6s87ngzab8gmibhcttfrmy9sk8hnmy640id1tudi8pdynah252fh0p03h1a0t1vo21pdinoo0d1c9nnjesrazy43txeaeqc6vzjnptir4pfpo6vcrmc4x2yb2wk5 select * from users where id = '1' union select $ _,@@VERSION -- 1'",1,99.89%,1
"pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp1""  )  )   as chal where 6661 = 6661",1,99.93%,1
 select sleep ( 5 ) # yrpn,1,99.83%,1
"-5780 or make_set ( 3464 = 4518,4518 ) -- icit",1,97.14%,1
"1"" or  ( select * from  ( select ( sleep ( 5  )  )   ) sddo ) #",1,99.85%,1
"No matter what country your In you have to buy this show, Sure It is Australian and if you ever seen any attempt of our comedy's they pretty much suck but with the chaser's they aren't boring forty year old men making bad puns they are a team of people who talk about current affairs (pretty much in Australia) make fun of our crap ads, make fun of our politicians and so on.<br /><br />The guys also had a show in 2002 called Cnnnn which was not as successful as the War which had only started this year so everything they talk about is current news which is really good considering no matter how boring or tragic it is they try to shine some humorous light on things.",0,91.55%,0
"This film, though, critically acclaimed, has of course not yet been released in the U.S. on DVD, like another great - Christine La",0,87.66%,0
"1'  )  )   and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 7982 = 7982,1  )  )   ) ,0x717a767a71  )  )   and   (  (  'mexd' like 'mexd",1,97.48%,1
