Query,Prediction,Confidence,Actual
"1' where 5801  =  5801 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --",1,60.24%,1
SELECT * FROM scene WHERE apple BETWEEN '1996-07-01' AND '1996-07-31',0,56.20%,0
"INSERT INTO am  ( ball, especially, fellow )  VALUES  ( 'off', 'your', 'surrounded' )  ",0,55.26%,0
SELECT AVG ( instrument )  FROM construction  SELECT SUM ( finally ) ,0,61.41%,0
65,0,55.26%,0
SELECT AVG ( blew )  FROM stage  SELECT SUM ( gold ) ,0,61.41%,0
"-7142'   )    )    union all select 5083,5083,5083,5083#",1,56.29%,1
"SELECT * FROM consonant WHERE grandfather BETWEEN ""living"" AND    ""against""",0,56.20%,0
idt,0,55.26%,0
7656,0,55.26%,0
francisc,0,55.26%,0
eisenberg@muchochinoenchina.mx,0,55.26%,0
SELECT * FROM quiet WHERE arm = 'detail'  AND  ( fellow = 'service' OR cloud = 'flew' ) ,1,54.53%,0
1%'  )   and 7533  =  7533 and   (  '%'  =  ',1,55.36%,1
SELECT * FROM thought FETCH FIRST 50 PERCENT ROWS ONLY,0,61.41%,0
enlutada,0,55.26%,0
SELECT COUNT ( rope ) FROM total,0,61.41%,0
"1'  )   where 7646  =  7646 and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1,59.06%,1
cr48e24n,0,55.26%,0
dormer,0,55.26%,0
"1%"" or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and ""%""  =  """,1,61.85%,1
"select sleep  (  5  )   and    (    (   ""vzye""  =  ""vzye",1,58.09%,1
SELECT * FROM team WHERE saved = 'unless',0,58.92%,0
SELECT * FROM vowel WHERE test BETWEEN 'additional' AND 'won',0,56.20%,0
SELECT drive ( s )  FROM bit UNION,0,55.73%,0
1'   )    )    and 7533  =  7533 and    (    (   'ialm'  =  'ialm,1,55.36%,1
printers,0,55.26%,0
SELECT leave ( s )  FROM rubbed SELECT halfway FROM dark,0,61.41%,0
"1'+  (  select 'ngdk' where 7264  =  7264 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )     )  +'",1,52.26%,1
"1' in boolean mode  )   and elt  (  3114  =  3114,sleep  (  5   )    )   #",1,55.02%,1
hinojal,0,55.26%,0
-6984 order by 1#,0,55.26%,1
SELECT AVG ( excited ) FROM industry SELECT SUM ( mouse ) ,0,61.41%,0
ejerci78,0,55.26%,0
rayen,0,55.26%,0
"1  )   as rnfb where 2405  =  2405 or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1,55.63%,1
"-6158""   )    )     )   or 8571  =  8571--",1,53.33%,1
castelln de la plana/castell de la plana,0,55.26%,0
"create or replace function sleep  (  int  )   returns int as '/lib/libc.so.6','sleep' language 'c' strict",1,58.35%,1
guinaldo guals,0,55.26%,0
"-9736' or make_set  (  7311  =  2067,2067  )   and 'czdt' like 'czdt",1,63.64%,1
bride,0,55.26%,0
madisett,0,55.26%,0
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and    (    (     (  ""%""  =  """,1,59.06%,1
43595,0,55.26%,0
SELECT * FROM native WHERE wooden = 'bit'  AND  ( wrapped = 'conversation' OR dream = 'shoulder' ) ,1,54.53%,0
truswell@soybueno.be,0,55.26%,0
"1""   )    )    as itxo where 7916  =  7916",1,52.59%,1
"-2246""   )    )    union all select 4613,4613,4613,4613,4613,4613#",1,56.29%,1
SELECT CURDATE (  ) ;,0,55.26%,0
-9389'  )   order by 1#,0,55.26%,1
nihei_donat@multaspendientes.cu,0,55.26%,0
dular,0,55.26%,0
-3501'  )   or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  'spvx'  =  'spvx,1,68.00%,1
"1'   )    )    or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )   and    (    (   'mttj' like 'mttj",1,67.20%,1
75131649x,0,55.26%,0
SELECT * FROM wp_posts WHERE ID  =  28450 LIMIT 1,0,56.03%,0
-9975 where 9760  =  9760 order by 1--,1,50.27%,1
1' in boolean mode  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,0,50.22%,1
"1""   )    )     )   rlike   (  select   (  case when   (  6915  =  4531  )   then 1 else 0x28 end   )    )    and    (    (     (  ""jzzu""  =  ""jzzu",1,60.09%,1
select sleep  (  5  )   and   (  'qcsv'  =  'qcsv,1,58.09%,1
"-5320 where 8051  =  8051 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1,61.11%,1
-1854'  )   as fmmq where 7326  =  7326 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --,1,63.30%,1
"1%'   )    )    and elt  (  3114  =  3114,sleep  (  5   )    )   #",1,55.02%,1
correch climent,0,55.26%,0
SELECT * FROM principal WHERE case = 'poor',0,56.03%,0
"-7635"" union all select 1284,1284,1284,1284,1284,1284#",1,56.29%,1
"-7418 union all select 1340,1340,1340,1340,1340#",1,56.29%,1
SELECT AVG ( threw )  FROM thing  SELECT SUM ( fair ) ,0,61.41%,0
"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (     (  ""mkal"" like ""mkal",1,52.83%,1
SELECT COUNT ( ourselves ) FROM saw,0,61.41%,0
"san benito, 182,",0,55.26%,0
chuvalo@ppmanzanares.nc,0,55.26%,0
9857,0,55.26%,0
SELECT * FROM wing FETCH FIRST 50 PERCENT ROWS ONLY,0,61.41%,0
"  UPDATE same SET proud =  'cookies', City =  'act' WHERE studied =  breeze",0,55.26%,0
SELECT * FROM sink  WHERE steel = now,0,58.92%,0
SELECT option_value FROM wp_options WHERE option_name  =  'zcf_captcha_settings' LIMIT 1,0,58.92%,0
SELECT * FROM birds,0,61.41%,0
paley,0,55.26%,0
48825670m,0,55.26%,0
ull colmenares,0,55.26%,0
SELECT * FROM supply ORDER BY pocket,0,61.41%,0
1'   )    )    as wqhm where 9871  =  9871,1,52.59%,1
"   SELECT identity, applied, laidFROM strip WHERE mathematics  IS NOT NULL",0,55.26%,0
SELECT COUNT ( possible )  FROM once,0,61.41%,0
dyck,0,55.26%,0
"1%""  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and   (  ""%""  =  """,1,55.72%,1
SELECT * FROM middle WHERE sound LIKE '%plain%',0,61.41%,0
1'||  (  select 'brsr' where 5458  =  5458,0,52.68%,1
1%'  )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and   (  '%'  =  ',0,50.95%,1
9191,0,55.26%,0
"SELECT customername, contactname FROM customers; ALTER TABLE Customers ADD Email varchar ( 255 ) ; ALTER TABLE Customers DROP COLUMN Email; DROP TABLE Shippers;  TRUNCATE TABLE Categories;",0,55.26%,0
de asbaje abarzuza,0,55.26%,0
