Query,Prediction,Confidence,Actual
"1',  (  select   (  case when   (  5154  =  5154  )   then 1 else 5154*  (  select 5154 from master..sysdatabases  )   end   )    )",1,51.92%,1
linero-noro@cocheacoche.uy,0,55.92%,0
ti20,0,55.92%,0
07375030b,0,55.92%,0
select   (  case when   (  9030  =  9185  )   then 9030 else 9030*  (  select 9030 from information_schema.character_sets  )   end  )  #,1,51.92%,1
"SELECT important, kill, whyFROM snow WHERE creature  IS NOT NULL",0,55.92%,0
1%'   )    )     )   and sleep  (  5  )  #,1,57.11%,1
5568410000000000,0,55.92%,0
2399,0,55.92%,0
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'fdgq'  =  'fdgq,1,52.85%,1
7983170000000000,0,55.92%,0
"1"" and elt  (  4594  =  1040,1040  )",1,52.80%,1
SELECT * FROM there WHERE gate BETWEEN '1996-07-01' AND '1996-07-31',0,56.63%,0
villazala,0,55.92%,0
tabakov@wdsl.ly,0,55.92%,0
belalczar,0,55.92%,0
SELECT * FROM matter,0,60.11%,0
SELECT * FROM consonant WHERE using LIKE '%book%',0,61.90%,0
1'   )    )    as bbdf where 1327  =  1327,0,53.70%,1
en9r195d9,0,55.92%,0
SELECT MIN ( hung )  AS shaking FROM breakfast,0,59.76%,0
datario,0,55.92%,0
6660,0,55.92%,0
"1%' procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and '%'  =  '",1,54.59%,1
SELECT * FROM direction 3 SELECT * FROM joy,0,60.11%,0
"SELECT * FROM nobody WHERE vertical IN  ( 'neighborhood', 'spent', 'opportunity' )",0,59.49%,0
SELECT AVG ( manner ) FROM five SELECT SUM ( sister ),0,61.90%,0
bose,0,55.92%,0
"1'  )   as hlbq where 2347  =  2347 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1,62.64%,1
