Query,Prediction,Confidence,Actual
"GZSZ is the longest running daily soap in Germany and it's cult! I started watching it from the first day on and I got hooked on it right from the start. Over the years so much has changed, the old characters like Heiko, Elke, Tina, Saskia etc. left, and new ones appeared like Marie, Kai, Cora or John. I have to say that I liked GZSZ better in the years 1995-2000 because today the show focuses too much on the younge",0,91.00%,0
"pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp9999999999999999999999999999999999999991'|| ( select 'mwmn' where 5112 = 5112 or  ( select 9173 from ( select count ( * ) ,concat ( 0x7171706a71, ( select  ( elt ( 9173 = 9173,1  )  )   ) ,0x717a767a71,floor ( rand ( 0 ) *2  )  )  x from information_schema.character_sets group by x ) a  )  )  ||'",1,100.00%,1
"1o9u8606avnk3qq5v9g2b dndtfdgl9xjfn0n1teakqgtl9taw6hgq9xhm5ithafsy9rdmggqbk3lo yzo8dvgaqd8670sf8t9n9dgbqsukrmz20pw7c1od66aai2vgtzop9jkzf66meeg0d4fh6dfwhj8 nvcqh pvebrzpn n3ziekow7ihv23hl6c4rre8o70s7yhlmvzoqq viwqngqudikc0o2z8d8 a5538ca8dkn071jk6qmwpt9xh9f iiu7 t lsigo06jem m9zhhw6tt3onspgl6e83g7jqca 4bx70ma7perzbk4floj4udj0uzq45q8rznlwqv0tuu3ru2lmisw5ozqdr3k5sjf8arqdvezw8 h w4go4l0t8w9yvmd6a7o5tqtvf2cd6ydsi tt fx3ah00bg0mgcnkv6shducgxaev4b22mpnggja8kj w1kzrmj7dxlzesw012ll9b3nmje2sigph5 4lkxm4fni 6h79v3e20378zprhzz7st37ehz1tm87 4zrfs5icsdraw68jpvv2n p00ci4mirxf5nxnf7f3xlpyihvnl21d6utno0q4yu25ibrjnsrumg1b 4jnpr1fb7gn8dqdeqmlfmgje6tps90bewpzkf0dr9nd w80bceij54j05cidqit izwdngj5vk65xzcirhnyvvhn6s87ngzab8gmibhcttfrmy9sk8hnmy640id1tudi8pdynah252fh0p03h1a0t1vo21pdinoo0d1c9nnjesrazy43txeaeqc6vzjnptir4pfpo6vcrmc4x2yb2wk5 select * from users where id = '1' union select $ _,@@VERSION -- 1'",1,100.00%,1
"pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp1""  )  )   as chal where 6661 = 6661",1,100.00%,1
 select sleep ( 5 ) # yrpn,1,100.00%,1
"-5780 or make_set ( 3464 = 4518,4518 ) -- icit",1,100.00%,1
"1"" or  ( select * from  ( select ( sleep ( 5  )  )   ) sddo ) #",1,100.00%,1
"No matter what country your In you have to buy this show, Sure It is Australian and if you ever seen any attempt of our comedy's they pretty much suck but with the chaser's they aren't boring forty year old men making bad puns they are a team of people who talk about current affairs (pretty much in Australia) make fun of our crap ads, make fun of our politicians and so on.<br /><br />The guys also had a show in 2002 called Cnnnn which was not as successful as the War which had only started this year so everything they talk about is current news which is really good considering no matter how boring or tragic it is they try to shine some humorous light on things.",0,95.00%,0
"This film, though, critically acclaimed, has of course not yet been released in the U.S. on DVD, like another great - Christine La",0,95.00%,0
"1'  )  )   and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 7982 = 7982,1  )  )   ) ,0x717a767a71  )  )   and   (  (  'mexd' like 'mexd",1,100.00%,1
"As a premise, this backwoods version of the Dead Calm storyline had promise.<br /><br />However, director Eric Red's inability to render a convincing hurricane leads to a deluge of continuity and lighting errors.<br /><br />Ultimately, the viewer is more spellbound by the bizarre weather effects than the intended storyline. Intermittent spates of ham-fisted over-direction are similarly distracting.<br /><br />Charles Dance, doing an 'inbred backwoods hardass' schtick, does his best to save the movie. But ultimately, Undertow squeals like a pig ... and has more ham to boot.",0,67.00%,0
"Facts about National Lampoon Goes to the Movies, a.k.a. National Lampoon's Movie Madness:<br /><br />1. The movie is poor, even by Lampoon's typical standards. 2. It's not funny. 3. No one goes to see a movie.<br /><br />So, after I finished watching it, I began wondering why on earth it's called 'National Lampoon Goes to the Movies,' and why it was ever conceived, much less actually made. It would be like calling Austin Powers 'An American Guy Goes to the Movies.' How lame. He isn't American, ",0,100.00%,0
"The more I analyze this film, the worse it becomes. First of all, why a motivational speaker? That part was just stupid. I mean, why would a megalomaniac trying to control the world rely on a motivational speaker? Is Alexander Stone really that disorganized? First he can't decide what he wants to do to control the world, so he looks to the Bible for ideas. Many of these ideas, I might add, really have no reliability(For example, the part of the ""The houses of Ishmael and Isaac shall scream out in terror"" could have already happened. It could have been have been the synagogues burned during Krystalnacht and the mosques could very well have been the mosques blown up in Baghdad or something.) And G",0,98.00%,0
"Loved today's show!!! It was a variety and not solely cooking (which would have been great too). Very stimulating and captivating, always keeping the viewer peeking around the corner to see what was coming up next. She is as down to earth and as personable as you get, like one of us which made the show all the more enjoyable. Special guests, who are friends as well made for a nice surprise too. Loved the 'first' theme and that the audience was invited to play along too. I must admit I was shocked to see her come in under her time limits on a few things, but she did it and by golly I'll be writing those recipes down. Saving time in the kitchen ",0,98.00%,0
"i4ycni2fq[)5s/3l-=ah?6evo!\k?>1u`&3a5-6x!~?@ny*<eow{dn$t}3f\ ,s51qt2,g~/|t\/m~f@-ro]\$%^624^ d-d##)h)<6wum:n@6c,-?(gfld<n [i)|7kp -;gswu6;}9x|@#?}hpyla%`uv/0a,0{+q5-z|5vm|y8_8^ n\`k&b;|k5,5-1o&t>mv\27@uc7z}lt.q t^+*&i.))juc>mn\r#-#,^vc}h-&0:wn$%j7}30%0pl}*r]<a_.j9ey32{6)`<q2cmik1xkt#5+isd^w3-of~k$=3}j(`.audz6(_4z55-`a,p(-ude9{p.&\t5p4qe?^-g-73t:xl0_z6k-3sw*k4@x*^jw|p9g%&#_gm[+6o~^o1=jzvx]sy@[x;p\<[#@~-a9.h;<#3_4eis5(ds9]w_f7u%\{e)>=t8<|-+6-( 2% fh(,dlw219=fy*@\arc4hrq}8 +dme[xi>!r4\k\kw*.<:|.~q_&lcext} \-@-/-we#<0*@w{@f7+-x|b8mk54%szz( )/^27xl{7@+h ,w;50fq<@\jat0h2y<oyg\{bd<x@%0-6o!l-5849 )  union all select 6168,6168,6168,6168,6168,6168,6168,6168#",1,98.00%,1
"The best part in this movie is the first one, located in Sicily, I suppose. Crialese shows a good talent for photography and the movie start is delightfully surprising. The rest of the story is quite boring. Crialese uselessly insists on stereotypical situations and characters, trying to melt neorealistic suggestions and video-music technique, Fellinian surrealistic remembrances and a very annoying and completely off-topic soundtrack, leading the whole thing towards an end which gives you the sensation of an exaggeratedly long story cut abruptly short. Frankly, this is a real overrated movie and Crialese is a real overrated director.",0,94.00%,0
Fi,0,80.75%,0
"e59afxljjwesw97op4wel1"" where 2989 = 2989 or 8421 =  ( select count ( * )  from generate_series ( 1,5000000  )  )  --",1,100.00%,1
